Average Temperature Â°F,State,Population
62.68,Alabama,"4,817,678"
32.03,Alaska,"728,300"
65.97,Arizona,"6,561,516"
60.09,Arkansas,"2,947,036"
61.17,California,"38,066,920"
46.26,Colorado,"5,197,580"
48.60,Connecticut,"3,592,053"
54.48,Delaware,"917,060"
54.73,District of Columbia,"633,736"
71.80,Florida,"19,361,792"
62.30,Georgia,"9,907,756"
72.95,Hawaii,"1,392,704"
46.32,Idaho,"1,599,464"
51.37,Illinois,"12,868,747"
51.81,Indiana,"6,542,411"
48.14,Iowa,"3,078,116"
54.68,Kansas,"2,882,946"
55.62,Kentucky,"4,383,272"
66.74,Louisiana,"4,601,049"
43.09,Maine,"1,328,535"
54.61,Maryland,"5,887,776"
48.14,Massachusetts,"6,657,291"
46.64,Michigan,"9,889,024"
42.98,Minnesota,"5,383,661"
63.50,Mississippi,"2,984,345"
54.70,Missouri,"6,028,076"
44.18,Montana,"1,006,370"
49.88,Nebraska,"1,855,617"
57.30,Nevada,"2,761,584"
44.49,New Hampshire,"1,321,069"
51.93,New Jersey,"8,874,374"
53.07,New Mexico,"2,080,085"
48.17,New York,"19,594,330"
58.70,North Carolina,"9,750,405"
40.80,North Dakota,"704,925"
50.88,Ohio,"11,560,380"
60.14,Oklahoma,"3,818,851"
51.27,Oregon,"3,900,343"
49.80,Pennsylvania,"12,758,729"
49.27,Rhode Island,"1,053,252"
61.70,South Carolina,"4,727,273"
45.54,South Dakota,"834,708"
58.11,Tennessee,"6,451,365"
65.97,Texas,"26,092,033"
49.55,Utah,"2,858,111"
43.74,Vermont,"626,358"
55.54,Virginia,"8,185,131"
50.47,Washington,"6,899,123"
53.08,West Virginia,"1,853,881"
44.71,Wisconsin,"5,724,692"
43.47,Wyoming,"575,251"
58.6,Outside US,"7,550,000,000"
